idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
1,1,1,0.554482102394104,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.7906218655967905,0.1566005438582548,2.375,2.0,0.734375,3.4285714285714284,4.0,0.5306122448979593,2.8,0.5599999999999999,4.0,1,0,0,1,0,0
2,0,1,0.6363663077354431,1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,2.4,1.4400000000000002,2.625,2.5,1.484375,3.2857142857142856,4.0,0.7755102040816327,4.2,0.96,3.0,0,1,0,1,0,0
5,0,1,0.6591023802757263,1,0.0,15.0,0.0,3,2,0.0,1.0,0.0,0.0,0.0,0,3.3906218655967906,0.2478543051421063,2.875,3.0,1.359375,2.857142857142857,3.0,1.5510204081632657,3.0,1.2,4.0,1,0,0,1,0,0
11,0,1,0.5028908252716064,1,0.0,16.0,0.0,4,4,1.0,1.0,0.0,0.0,0.0,0,3.8,0.1599999999999999,2.75,3.0,0.9375,3.857142857142857,4.0,0.1224489795918367,3.6,1.84,1.0,1,0,0,1,0,0
13,0,1,0.6063053607940674,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.375,2.0,1.234375,3.0,3.0,0.8571428571428571,4.4,0.24,5.0,1,0,0,1,0,0
23,0,1,0.8100140690803528,1,0.0,17.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.375,2.5,0.484375,3.5714285714285716,4.0,0.2448979591836734,4.2,0.5599999999999999,5.0,0,1,0,1,0,0
25,1,1,0.6458804607391357,1,0.0,17.0,0.0,0,1,1.0,0.0,0.0,1.0,1.0,0,1.6,0.24,2.75,3.0,0.9375,1.1428571428571428,1.0,0.1224489795918367,4.0,0.4,2.0,1,0,0,1,0,0
28,0,1,0.5665588974952698,1,0.0,17.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.25,2.0,0.1875,3.0,3.0,0.5714285714285714,3.4,0.24,5.0,1,0,0,1,0,0
30,0,1,0.721530556678772,1,0.0,17.0,1.0,2,2,1.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.5,2.5,0.25,2.4285714285714284,2.0,1.3877551020408163,4.6,0.24,4.0,1,0,0,0,1,0
47,0,0,0.4534701108932495,1,1.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.75,2.5,0.6875,3.2857142857142856,4.0,0.7755102040816327,3.8,0.5599999999999999,1.0,0,1,0,1,0,0
48,0,1,0.7815952897071838,1,1.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.197992471769134,0.1608191319707372,2.25,2.0,0.1875,2.5714285714285716,3.0,0.816326530612245,3.4,0.24,4.0,1,0,0,1,0,0
49,0,1,0.7056870460510254,1,0.0,14.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,4.0,0.0,2.375,2.0,0.234375,4.0,4.0,0.0,3.2,3.3600000000000003,1.0,1,0,0,1,0,0
51,0,0,0.4431856870651245,1,1.0,14.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,1,2.8,0.5599999999999999,2.125,2.0,1.109375,3.0,4.0,1.4285714285714286,3.6,1.84,4.0,0,1,0,1,0,0
53,0,0,0.4746011793613434,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.0,0.4,2.625,2.0,1.234375,3.5714285714285716,4.0,0.2448979591836734,4.4,0.24,1.0,0,1,0,1,0,0
55,0,0,0.4424193203449249,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.0,0.4,2.0,1.5,1.25,2.857142857142857,3.0,0.6938775510204082,5.0,0.0,1.0,0,1,0,0,1,0
